Designator,Mid X,Mid Y,Rotation,Layer
D9_2,84.9375,-15.0,0.0,top
D9,84.9375,-62.0,0.0,top
Q1_12,154.6875,-121.75,0.0,top
Q1_11,154.6875,-168.75,0.0,top
Q1_10,97.6875,-74.75,0.0,top
Q1_9,154.6875,-74.75,0.0,top
Q1_8,154.6875,-27.75,0.0,top
Q1_7,40.6875,-168.75,0.0,top
Q1_6,97.6875,-168.75,0.0,top
Q1_5,97.6875,-27.75,0.0,top
Q1_4,97.6875,-121.75,0.0,top
Q1_3,40.6875,-121.75,0.0,top
Q1_2,40.6875,-74.75,0.0,top
Q1,40.6875,-27.75,0.0,top
Q2_12,97.6875,-163.75,0.0,top
Q2_11,154.6875,-22.75,0.0,top
Q2_10,154.6875,-116.75,0.0,top
Q2_9,97.6875,-22.75,0.0,top
Q2_8,97.6875,-116.75,0.0,top
Q2_7,40.6875,-69.75,0.0,top
Q2_6,154.6875,-69.75,0.0,top
Q2_5,97.6875,-69.75,0.0,top
Q2_4,40.6875,-116.75,0.0,top
Q2_3,154.6875,-163.75,0.0,top
Q2_2,40.6875,-163.75,0.0,top
Q2,40.6875,-22.75,0.0,top
Q3_12,40.6875,-64.75,0.0,top
Q3_11,97.6875,-111.75,0.0,top
Q3_10,154.6875,-17.75,0.0,top
Q3_9,154.6875,-64.75,0.0,top
Q3_8,40.6875,-17.75,0.0,top
Q3_7,97.6875,-17.75,0.0,top
Q3_6,154.6875,-158.75,0.0,top
Q3_5,97.6875,-158.75,0.0,top
Q3_4,40.6875,-111.75,0.0,top
Q3_3,40.6875,-158.75,0.0,top
Q3_2,97.6875,-64.75,0.0,top
Q3,154.6875,-111.75,0.0,top
Q4_12,148.6875,-166.0,0.0,top
Q4_11,91.6875,-25.0,0.0,top
Q4_10,91.6875,-166.0,0.0,top
Q4_9,91.6875,-72.0,0.0,top
Q4_8,34.6875,-119.0,0.0,top
Q4_7,34.6875,-25.0,0.0,top
Q4_6,148.6875,-119.0,0.0,top
Q4_5,148.6875,-25.0,0.0,top
Q4_4,34.6875,-72.0,0.0,top
Q4_3,34.6875,-166.0,0.0,top
Q4_2,91.6875,-119.0,0.0,top
Q4,148.6875,-72.0,0.0,top
Q5_12,91.6875,-114.0,0.0,top
Q5_11,148.6875,-20.0,0.0,top
Q5_10,148.6875,-67.0,0.0,top
Q5_9,91.6875,-20.0,0.0,top
Q5_8,91.6875,-67.0,0.0,top
Q5_7,148.6875,-114.0,0.0,top
Q5_6,148.6875,-161.0,0.0,top
Q5_5,34.6875,-20.0,0.0,top
Q5_4,91.6875,-161.0,0.0,top
Q5_3,34.6875,-67.0,0.0,top
Q5_2,34.6875,-161.0,0.0,top
Q5,34.6875,-114.0,0.0,top
Q6_12,148.6875,-15.0,0.0,top
Q6_11,148.6875,-156.0,0.0,top
Q6_10,34.6875,-62.0,0.0,top
Q6_9,34.6875,-156.0,0.0,top
Q6_8,148.6875,-109.0,0.0,top
Q6_7,91.6875,-62.0,0.0,top
Q6_6,91.6875,-109.0,0.0,top
Q6_5,34.6875,-109.0,0.0,top
Q6_4,148.6875,-62.0,0.0,top
Q6_3,91.6875,-15.0,0.0,top
Q6_2,34.6875,-15.0,0.0,top
Q6,91.6875,-156.0,0.0,top
R1_12,54.0,-27.0,180.0,top
R1_11,54.0,-121.0,180.0,top
R1_10,168.0,-74.0,180.0,top
R1_9,111.0,-168.0,180.0,top
R1_8,168.0,-121.0,180.0,top
R1_7,168.0,-168.0,180.0,top
R1_6,168.0,-27.0,180.0,top
R1_5,54.0,-168.0,180.0,top
R1_4,54.0,-74.0,180.0,top
R1_3,111.0,-74.0,180.0,top
R1_2,111.0,-121.0,180.0,top
R1,111.0,-27.0,180.0,top
R10_12,15.825,-163.0,0.0,top
R10_11,72.825,-163.0,0.0,top
R10_10,15.825,-116.0,0.0,top
R10_9,129.825,-116.0,0.0,top
R10_8,72.825,-116.0,0.0,top
R10_7,72.825,-22.0,0.0,top
R10_6,129.825,-69.0,0.0,top
R10_5,15.825,-69.0,0.0,top
R10_4,129.825,-163.0,0.0,top
R10_3,129.825,-22.0,0.0,top
R10_2,15.825,-22.0,0.0,top
R10,72.825,-69.0,0.0,top
R11_12,21.825,-158.0,0.0,top
R11_11,78.825,-111.0,0.0,top
R11_10,78.825,-64.0,0.0,top
R11_9,135.825,-64.0,0.0,top
R11_8,135.825,-17.0,0.0,top
R11_7,21.825,-64.0,0.0,top
R11_6,78.825,-158.0,0.0,top
R11_5,21.825,-111.0,0.0,top
R11_4,135.825,-158.0,0.0,top
R11_3,21.825,-17.0,0.0,top
R11_2,78.825,-17.0,0.0,top
R11,135.825,-111.0,0.0,top
R12_12,141.825,-27.0,0.0,top
R12_11,27.825,-121.0,0.0,top
R12_10,141.825,-74.0,0.0,top
R12_9,84.825,-121.0,0.0,top
R12_8,27.825,-27.0,0.0,top
R12_7,27.825,-168.0,0.0,top
R12_6,141.825,-121.0,0.0,top
R12_5,141.825,-168.0,0.0,top
R12_4,27.825,-74.0,0.0,top
R12_3,84.825,-74.0,0.0,top
R12_2,84.825,-168.0,0.0,top
R12,84.825,-27.0,0.0,top
R13_12,129.825,-17.0,0.0,top
R13_11,129.825,-111.0,0.0,top
R13_10,72.825,-64.0,0.0,top
R13_9,15.825,-111.0,0.0,top
R13_8,72.825,-158.0,0.0,top
R13_7,15.825,-64.0,0.0,top
R13_6,129.825,-158.0,0.0,top
R13_5,15.825,-17.0,0.0,top
R13_4,129.825,-64.0,0.0,top
R13_3,72.825,-111.0,0.0,top
R13_2,72.825,-17.0,0.0,top
R13,15.825,-158.0,0.0,top
R14_12,135.825,-27.0,0.0,top
R14_11,21.825,-168.0,0.0,top
R14_10,21.825,-27.0,0.0,top
R14_9,78.825,-74.0,0.0,top
R14_8,78.825,-168.0,0.0,top
R14_7,78.825,-27.0,0.0,top
R14_6,135.825,-121.0,0.0,top
R14_5,78.825,-121.0,0.0,top
R14_4,135.825,-74.0,0.0,top
R14_3,21.825,-121.0,0.0,top
R14_2,135.825,-168.0,0.0,top
R14,21.825,-74.0,0.0,top
R15_12,27.825,-69.0,0.0,top
R15_11,84.825,-22.0,0.0,top
R15_10,141.825,-163.0,0.0,top
R15_9,141.825,-116.0,0.0,top
R15_8,84.825,-163.0,0.0,top
R15_7,141.825,-69.0,0.0,top
R15_6,27.825,-116.0,0.0,top
R15_5,27.825,-22.0,0.0,top
R15_4,141.825,-22.0,0.0,top
R15_3,84.825,-116.0,0.0,top
R15_2,27.825,-163.0,0.0,top
R15,84.825,-69.0,0.0,top
R16_12,15.825,-121.0,0.0,top
R16_11,129.825,-27.0,0.0,top
R16_10,15.825,-27.0,0.0,top
R16_9,129.825,-121.0,0.0,top
R16_8,15.825,-168.0,0.0,top
R16_7,72.825,-168.0,0.0,top
R16_6,129.825,-74.0,0.0,top
R16_5,72.825,-74.0,0.0,top
R16_4,129.825,-168.0,0.0,top
R16_3,72.825,-121.0,0.0,top
R16_2,72.825,-27.0,0.0,top
R16,15.825,-74.0,0.0,top
R17_12,78.825,-22.0,0.0,top
R17_11,21.825,-116.0,0.0,top
R17_10,135.825,-116.0,0.0,top
R17_9,135.825,-22.0,0.0,top
R17_8,135.825,-69.0,0.0,top
R17_7,78.825,-163.0,0.0,top
R17_6,78.825,-69.0,0.0,top
R17_5,135.825,-163.0,0.0,top
R17_4,78.825,-116.0,0.0,top
R17_3,21.825,-69.0,0.0,top
R17_2,21.825,-22.0,0.0,top
R17,21.825,-163.0,0.0,top
R18_12,27.825,-64.0,0.0,top
R18_11,84.825,-111.0,0.0,top
R18_10,84.825,-17.0,0.0,top
R18_9,141.825,-111.0,0.0,top
R18_8,27.825,-158.0,0.0,top
R18_7,141.825,-64.0,0.0,top
R18_6,27.825,-111.0,0.0,top
R18_5,84.825,-64.0,0.0,top
R18_4,27.825,-17.0,0.0,top
R18_3,141.825,-158.0,0.0,top
R18_2,84.825,-158.0,0.0,top
R18,141.825,-17.0,0.0,top
R2_12,45.5,-165.425,270.0,top
R2_11,159.5,-165.425,270.0,top
R2_10,159.5,-71.425,270.0,top
R2_9,45.5,-71.425,270.0,top
R2_8,102.5,-165.425,270.0,top
R2_7,102.5,-24.425,270.0,top
R2_6,159.5,-24.425,270.0,top
R2_5,102.5,-118.425,270.0,top
R2_4,159.5,-118.425,270.0,top
R2_3,45.5,-118.425,270.0,top
R2_2,45.5,-24.425,270.0,top
R2,102.5,-71.425,270.0,top
